col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49
-0.926217,-0.290618,-1.220287,-0.436464,-0.236453,-0.149678,-1.112775,-0.172695,-0.3466,5.875652,0.490482,-1.082585,0.798952,-1.139619,-0.537621,0.398074,1.564458,-0.810611,-0.242159,0.68476,0.478555,0.334143,-0.204097,0.304245,0.09064,-1.055565,0.688461,-0.566427,-0.208525,0.064224,0.105798,-1.944629,0.968172,-0.66558,-0.16964,-0.355657,-0.234089,-0.154537,0.184439,0.593094,-0.537383,-1.115405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.926217,0.016821,0.598447,-0.436478,-0.236453,-0.461458,0.85924,0.507604,0.221864,-0.22119,2.084524,-0.120938,0.650986,-0.548036,0.184235,-1.795991,0.821378,1.364733,-0.296537,-1.072989,0.132086,-0.114512,-0.198765,0.304245,0.350013,0.504102,-0.317896,-0.213283,-0.260486,0.232613,-0.196385,-1.967849,0.968172,-0.909045,-0.16964,-0.301861,-0.234089,0.439635,0.590789,-0.211523,-0.577876,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,0.762488,1.429235,-0.299445,-0.236453,-0.585542,-0.059217,0.451382,0.047368,-0.199066,-0.630518,1.62045,-0.53597,0.137236,0.849766,0.650779,0.822886,1.228442,0.909667,-0.825657,0.453075,0.253226,-0.261606,0.304245,-0.153471,1.437706,-0.498403,0.692397,0.831805,0.231966,-0.196385,-1.99162,-1.21198,-0.910804,-0.16964,-0.161221,-0.234089,0.368605,-0.0524,-0.208603,-0.451884,1.127831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,-0.398179,1.127746,-0.436481,-0.236453,1.409286,0.861132,0.133659,0.17697,-0.212235,-2.080893,-1.982166,-0.53597,-1.242982,-0.413475,0.599998,-0.263902,0.845513,-0.684818,-1.121231,-2.940626,0.847695,-0.25882,0.304245,-1.125676,0.425986,-0.469559,-2.27537,-0.608335,0.231971,-0.196385,1.041712,0.968172,-0.704181,-0.16964,2.623885,-0.234089,-0.046029,1.395195,3.581201,1.6038,-0.08422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.926217,1.280563,-0.220271,-0.436481,-0.236453,-0.331605,-1.218293,-0.291354,0.384954,-0.180069,0.009328,-0.265132,-0.321517,-0.875031,0.647171,-1.398737,0.60288,-1.11895,-1.770153,1.289658,0.618597,0.258235,-0.21499,0.304245,2.272632,0.320915,0.564703,0.771126,-1.588609,0.231966,-0.196385,-0.580446,0.968172,-0.107081,-0.16964,-1.866518,-0.234089,-0.62103,0.525427,-0.206096,1.567168,-2.215805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.926217,-0.309643,0.360491,-0.435587,-0.236453,-0.572933,1.131892,0.406788,0.330953,-0.219975,0.792134,1.025688,-0.53597,-0.583972,-0.16364,-0.51357,0.047416,1.436954,-0.242777,-1.298434,2.759276,-0.686788,-0.229316,0.304245,-0.973767,0.133129,-4.480046,-0.455458,-0.209084,0.231966,-0.196385,-1.863412,0.968172,-0.879757,-0.16964,-1.232111,-0.234089,0.3111,0.767577,6.09424,-0.580841,0.317527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.926217,-0.554171,-0.959564,-0.435817,-0.236453,-0.55617,-1.251309,-0.409582,0.685399,-0.186419,0.890406,0.883465,0.741279,0.801802,-0.807463,-0.201749,0.682133,-1.290258,0.145154,0.760895,0.020337,0.019962,-0.233311,0.304245,-1.605307,-1.077856,-0.123696,-0.733943,0.082253,0.231966,-0.196385,0.212149,-0.311683,-0.212523,-0.16964,1.164183,-0.234089,-0.785852,0.586865,-0.206934,-0.469183,-0.580877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,1.538874,0.132097,-0.423568,-0.236453,1.221286,0.72259,0.676551,0.55773,-0.116841,0.314088,-1.165217,-0.53597,0.954518,1.170384,1.037665,1.086427,-0.267943,1.014166,1.897764,0.097395,0.281803,-0.325852,-0.845888,-1.239969,0.875575,0.780781,-1.042621,2.712564,0.231966,-0.196385,-2.016819,-1.21198,0.762018,-0.16964,0.828486,-0.234089,0.655837,-0.301358,-0.197752,-0.134521,0.004235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,-0.462548,-1.11956,-0.436477,-0.236453,0.324762,0.930873,0.503956,0.512823,-0.141894,1.205084,-1.136143,0.198346,-0.358205,-0.207801,1.137715,-0.159026,0.782173,0.23526,-0.325217,0.147813,0.646058,-0.220994,0.304245,-1.32903,-0.778293,0.376469,-0.992428,0.025347,0.231966,-0.196385,1.33922,-0.751022,0.447759,-0.16964,0.858624,-0.234089,0.436129,-0.456515,-0.268328,-0.433592,1.220568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,0.976137,-1.092806,-0.436478,-0.236453,-0.124077,0.454057,0.938947,-0.589644,6.108581,-0.294995,-0.176313,-0.53597,1.191686,1.652745,0.093394,0.168391,1.012482,1.429277,-0.490838,0.379181,0.556031,-0.210198,0.304245,-1.599526,0.463033,-0.104038,-0.450894,1.301116,0.504387,7.502619,-0.585307,-1.21198,0.520585,-0.16964,0.590126,-0.234089,0.460834,-0.981404,0.623834,2.288609,0.265431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,-0.160024,0.264051,1.47826,-0.236453,-0.43749,-1.068539,1.741536,0.357727,-0.205658,1.535252,-0.075082,-0.53597,1.12708,3.267274,-0.556105,1.620637,-0.422166,0.303949,-1.695626,0.468145,-3.760582,-0.200517,0.304245,0.64324,2.668927,0.80536,0.089216,-1.886509,0.504387,-0.196385,-1.68664,-1.085939,-0.567125,-0.16964,-0.710674,-0.234089,-0.422403,0.354717,-0.209473,-0.673816,0.335598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,0.516375,0.916478,-0.436481,-0.236453,-0.081678,0.847025,0.334204,-0.744101,-0.159141,1.078416,-0.288,-0.53597,-1.05989,0.498051,0.703272,-3.003846,-0.656434,-1.630481,-1.695626,-3.638027,0.011232,-0.319273,0.304245,1.832067,0.90038,-4.225633,1.205807,-1.469639,0.231966,-0.196385,1.940973,0.968172,0.211282,-0.16964,1.198955,4.267615,0.217037,-0.726278,-0.203338,3.512986,0.212039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.926217,0.496123,-2.178807,-0.436481,-0.236453,-0.580119,0.642293,0.155241,0.803015,-0.212726,0.225783,0.654425,0.59556,-0.18704,0.306471,0.430062,0.562047,1.453135,-0.803393,-1.008594,0.152059,-0.829242,2.553137,0.304245,0.699354,-1.111321,-0.47256,0.616117,-0.715607,0.231966,-0.196385,-1.699074,0.968172,-0.714827,-0.16964,-0.551295,-0.234089,-0.017478,0.111842,-0.210406,-0.486901,-0.194161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078581,-1.268814,0.264515,-0.408111,-0.236453,-0.382665,1.325606,1.741044,-0.427601,-0.242943,0.840884,-1.075304,-0.53597,-0.479216,0.120194,0.346773,0.810308,1.44189,-0.015792,-1.57132,0.458301,-0.272556,-0.231476,0.304245,-1.328447,0.262849,-0.844213,-0.738305,-0.00407,0.231966,-0.196385,-1.043822,0.472979,-1.55573,-0.16964,0.653701,-0.234089,1.953506,-0.890754,-0.214394,-0.485391,1.692702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
