##### HEAD (config, device, fresh-vs-resume) #####
[2026-09-17 14:55:37] dopfn-repro variant=dopfn_1d steps=150000
  REPO=/scratch/furkanbd/rpfn_bench_kit/R-PFN
  DOPFN_SRC=/scratch/furkanbd/rpfn_bench_kit/external/dopfn
  OUT=/scratch/furkanbd/rpfn_bench_kit/checkpoints_dopfn_repro/dopfn_1d
NVIDIA H100 80GB HBM3, 81559 MiB
  no latest.pt -> fresh start
variant=dopfn_1d  n_out=100  params=7,336,420  device=cuda
  backbone sha256 1f119e9c1d6297db
fitting target support from 100 prior batches ...
  1-D borders: 100 quantile buckets over [-4.627, 9.743], widths 0.0170-6.4145
    step        loss         lr   s/step  skipped
--------------------------------------------------
Using CUDA, but Triton is not available. Falling back to PyTorch, this will be slower. Install Triton to enable faster training.
      50      1.7091  2.308e-07    0.155        0
     100      1.5597  4.571e-07    0.109        0
     150      1.6388  6.833e-07    0.098        0
     200      1.5977  9.096e-07    0.100        0
     250      1.6788  1.136e-06    0.106        0
     300      1.6922  1.362e-06    0.098        0
     350      1.6902  1.588e-06    0.097        0
     400      1.5553  1.815e-06    0.096        0
     450      1.6616  2.041e-06    0.099        0
     500      1.5496  2.267e-06    0.096        0
     550      1.5159  2.494e-06    0.105        0
     600      1.6437  2.720e-06    0.099        0
     650      1.7016  2.946e-06    0.110        0
     700      1.5968  3.172e-06    0.102        0
     750      1.5513  3.399e-06    0.098        0
     800      2.2154  3.625e-06    0.100        0
     850      1.5711  3.851e-06    0.097        0
     900      1.5408  4.077e-06    0.104        0
     950      1.6705  4.304e-06    0.100        0
    1000      1.6775  4.530e-06    0.100        0
    1050      1.6807  4.756e-06    0.097        0
    1100      1.5407  4.983e-06    0.097        0
    1150      1.4864  5.209e-06    0.099        0
    1200      1.5043  5.435e-06    0.101        0
    1250      1.6606  5.661e-06    0.094        0
    1300      1.4977  5.888e-06    0.096        0
    1350      1.3894  6.114e-06    0.100        0
    1400      1.5781  6.340e-06    0.099        0
    1450      1.4667  6.566e-06    0.100        0
    1500      1.5141  6.793e-06    0.101        0
    1550      1.4539  7.019e-06    0.104        0
    1600      1.5302  7.245e-06    0.091        0

##### s/step rows (every 200th) #####
     100      1.5597  4.571e-07    0.109        0
   10100      0.6998  4.571e-05    0.094        0
   20100      0.3459  8.483e-05    0.090        0
   30100     -0.0418  8.330e-05    0.102        0
   40100      0.2488  7.943e-05    0.099        0
   50100      0.1357  7.346e-05    0.103        0
   60100     -0.0285  6.571e-05    0.094        0
   70100     -0.0574  5.664e-05    0.096        1
   80100      0.0685  4.676e-05    0.101        1
   90100     -0.1394  3.663e-05    0.100        1
  100100      1.1204  2.683e-05    0.098        1
  110100      0.0071  1.792e-05    0.096        1
  120100     -0.2321  1.041e-05    0.100        1
  130100     -0.0164  4.723e-06    0.100        1
  140100     -0.2373  1.186e-06    0.103        1

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  148900     -0.2827  1.473e-08    0.099        1
  148950     -0.0291  1.342e-08    0.100        1
  149000     -0.2741  1.218e-08    0.093        1
  149050     -0.1544  1.099e-08    0.093        1
  149100      0.1595  9.866e-09    0.090        1
  149150      2.1372  8.801e-09    0.105        1
  149200     -0.0299  7.798e-09    0.101        1
  149250     -0.2982  6.854e-09    0.099        1
  149300     -0.0107  5.972e-09    0.097        1
  149350     -0.0974  5.151e-09    0.095        1
  149400     -0.1961  4.390e-09    0.096        1
  149450     -0.3197  3.690e-09    0.096        1
  149500     -0.1068  3.051e-09    0.098        1
  149550     -0.0659  2.472e-09    0.106        1
  149600      0.1536  1.954e-09    0.099        1
  149650     -0.1800  1.497e-09    0.100        1
  149700     -0.3276  1.101e-09    0.097        1
  149750     -0.2143  7.657e-10    0.100        1
  149800     -0.1629  4.910e-10    0.093        1
  149850     83.3614  2.771e-10    0.094        1
  149900     -0.2179  1.240e-10    0.099        1
  149950     -0.2801  3.161e-11    0.101        1
  150000     -0.0565  1.215e-14    0.099        1
done at step 150000; 1 batches skipped. -> /scratch/furkanbd/rpfn_bench_kit/checkpoints_dopfn_repro/dopfn_1d
[2026-09-17 19:03:52] DONE
