R-PFN/checkpoints                                            max_step=50000 max_epoch=- n=1
causalpfn_j1024_full_output                                  max_step=- max_epoch=18 n=38
causalpfn_j1024_full_output/checkpoints                      max_step=- max_epoch=18 n=38
causalpfn_j1024_headrand_A1_h100/step_checkpoints            max_step=50000 max_epoch=- n=25
causalpfn_j1024_headrand_output                              max_step=- max_epoch=18 n=38
causalpfn_j1024_headrand_output/checkpoints                  max_step=- max_epoch=18 n=38
causalpfn_original_j100_output                               max_step=- max_epoch=18 n=2
causalpfn_original_j100_output/checkpoints                   max_step=- max_epoch=18 n=2
causalpfn_original_output                                    max_step=- max_epoch=47 n=3
causalpfn_original_output/checkpoints                        max_step=- max_epoch=47 n=3
checkpoints_dopfn_backbone                                   max_step=262144 max_epoch=- n=1
checkpoints_dopfn_backbone_j10                               max_step=200000 max_epoch=- n=1
checkpoints_dopfn_backbone_realj10                           max_step=200000 max_epoch=- n=40
cpfn1d_j32_headrand_SMOKE/checkpoints                        max_step=- max_epoch=0 n=1
cpfn1d_j32_headrand_SMOKE/step_checkpoints                   max_step=60 max_epoch=- n=3
cpfn2d_j1024_from1d_output                                   max_step=7000 max_epoch=55 n=5
cpfn2d_j1024_from1d_output/checkpoints                       max_step=- max_epoch=55 n=2
cpfn2d_j1024_from1d_output/step_checkpoints                  max_step=7000 max_epoch=- n=3
cpfn2d_j1024_random_output                                   max_step=7000 max_epoch=57 n=5
cpfn2d_j1024_random_output/checkpoints                       max_step=- max_epoch=57 n=2
cpfn2d_j1024_random_output/step_checkpoints                  max_step=7000 max_epoch=- n=3
cpfn2d_j32_armc_smoke/checkpoints                            max_step=- max_epoch=7 n=8
cpfn2d_j32_armc_smoke/step_checkpoints                       max_step=1040 max_epoch=- n=3
cpfn2d_j32_armcentered_output                                max_step=30000 max_epoch=245 n=251
cpfn2d_j32_armcentered_output/checkpoints                    max_step=- max_epoch=245 n=246
cpfn2d_j32_armcentered_output/step_checkpoints               max_step=30000 max_epoch=- n=5
cpfn2d_j32_random_A1_h100/step_checkpoints                   max_step=136000 max_epoch=- n=68
cpfn2d_j32_random_A1_l40s/checkpoints                        max_step=- max_epoch=28 n=29
cpfn2d_j32_random_A1_l40s/step_checkpoints                   max_step=2000 max_epoch=- n=1
