##### HEAD (config, device, fresh-vs-resume) #####
[2026-08-26 08:30:59] launching  ds=CPS  variant=fn50 clustered  exp=table1_all_CPS_fn50c_5032938
[bootstrap] device=cuda  ckpt=/scratch/furkanbd/rpfn_bench_kit/R-PFN/checkpoints/step_50000_final.pt  out=/scratch/furkanbd/rpfn_bench_kit/results_table1_all
[bootstrap] J=100  F=50  params=16,119,072
══ CPS  (n_realizations=100) ══
  r=000  pehe= 12768.816  ate_rel_err= 1.013  (8s)
  r=001  pehe= 12460.411  ate_rel_err= 0.959  (15s)
  r=002  pehe= 12607.357  ate_rel_err= 1.006  (23s)
  r=003  pehe= 12787.522  ate_rel_err= 1.001  (30s)
  r=004  pehe= 12871.261  ate_rel_err= 1.042  (38s)
  r=005  pehe= 12638.352  ate_rel_err= 0.988  (45s)
  r=006  pehe= 12520.112  ate_rel_err= 0.970  (53s)
  r=007  pehe= 12604.792  ate_rel_err= 0.960  (60s)
  r=008  pehe= 12869.464  ate_rel_err= 1.013  (68s)
  r=009  pehe= 12474.229  ate_rel_err= 0.996  (75s)
  r=010  pehe= 12578.505  ate_rel_err= 0.952  (83s)
  r=011  pehe= 12876.731  ate_rel_err= 1.000  (91s)
  r=012  pehe= 12402.943  ate_rel_err= 0.986  (98s)
  r=013  pehe= 12587.832  ate_rel_err= 0.972  (106s)
  r=014  pehe= 12491.814  ate_rel_err= 0.968  (113s)
  r=015  pehe= 12729.877  ate_rel_err= 1.043  (121s)
  r=016  pehe= 12456.741  ate_rel_err= 0.972  (128s)
  r=017  pehe= 12936.078  ate_rel_err= 0.977  (136s)
  r=018  pehe= 12556.317  ate_rel_err= 0.989  (143s)
  r=019  pehe= 12979.347  ate_rel_err= 1.005  (151s)
  r=020  pehe= 13087.117  ate_rel_err= 1.043  (159s)
  r=021  pehe= 13087.251  ate_rel_err= 1.001  (166s)
  r=022  pehe= 12533.586  ate_rel_err= 0.996  (174s)
  r=023  pehe= 12589.614  ate_rel_err= 0.990  (181s)
  r=024  pehe= 12591.721  ate_rel_err= 1.000  (189s)
  r=025  pehe= 13084.399  ate_rel_err= 1.017  (196s)
  r=026  pehe= 12778.131  ate_rel_err= 1.000  (203s)
  r=027  pehe= 12967.056  ate_rel_err= 0.985  (211s)
  r=028  pehe= 12860.596  ate_rel_err= 1.045  (218s)
  r=029  pehe= 12898.630  ate_rel_err= 1.024  (226s)
  r=030  pehe= 12923.710  ate_rel_err= 0.983  (233s)
  r=031  pehe= 13000.875  ate_rel_err= 1.009  (241s)
  r=032  pehe= 12732.953  ate_rel_err= 0.989  (248s)
  r=033  pehe= 12559.419  ate_rel_err= 0.976  (255s)
  r=034  pehe= 12992.395  ate_rel_err= 0.991  (263s)
  r=035  pehe= 12777.496  ate_rel_err= 0.988  (270s)
  r=036  pehe= 12808.550  ate_rel_err= 0.983  (277s)
  r=037  pehe= 12796.534  ate_rel_err= 0.996  (285s)
  r=038  pehe= 12853.817  ate_rel_err= 1.028  (292s)
  r=039  pehe= 12947.825  ate_rel_err= 1.040  (299s)
  r=040  pehe= 12489.705  ate_rel_err= 0.998  (307s)

##### s/step rows (every 200th) #####

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  r=077  pehe= 12929.635  ate_rel_err= 0.994  (579s)
  r=078  pehe= 12763.782  ate_rel_err= 1.005  (587s)
  r=079  pehe= 12710.514  ate_rel_err= 1.012  (594s)
  r=080  pehe= 12942.065  ate_rel_err= 1.017  (601s)
  r=081  pehe= 12607.511  ate_rel_err= 0.997  (609s)
  r=082  pehe= 12538.064  ate_rel_err= 1.017  (616s)
  r=083  pehe= 12706.195  ate_rel_err= 0.994  (623s)
  r=084  pehe= 12845.859  ate_rel_err= 1.012  (631s)
  r=085  pehe= 12987.954  ate_rel_err= 1.001  (638s)
  r=086  pehe= 12757.006  ate_rel_err= 0.981  (646s)
  r=087  pehe= 12680.122  ate_rel_err= 0.965  (653s)
  r=088  pehe= 13130.356  ate_rel_err= 1.023  (660s)
  r=089  pehe= 12651.569  ate_rel_err= 0.967  (668s)
  r=090  pehe= 12534.570  ate_rel_err= 0.998  (675s)
  r=091  pehe= 12846.423  ate_rel_err= 0.998  (683s)
  r=092  pehe= 12816.354  ate_rel_err= 1.033  (690s)
  r=093  pehe= 12818.938  ate_rel_err= 1.016  (697s)
  r=094  pehe= 12469.890  ate_rel_err= 1.011  (705s)
  r=095  pehe= 12554.369  ate_rel_err= 1.000  (712s)
  r=096  pehe= 12587.171  ate_rel_err= 0.974  (719s)
  r=097  pehe= 12435.452  ate_rel_err= 0.984  (727s)
  r=098  pehe= 12760.854  ate_rel_err= 0.998  (734s)
  r=099  pehe= 12133.472  ate_rel_err= 0.948  (741s)
CPS summary   PEHE =  12727.155 ± 19.966   ATE_rel_err = 0.998 ± 0.002
[2026-08-26 08:43:32] done
