##### HEAD (config, device, fresh-vs-resume) #####
[2026-08-26 08:16:15] task=1  ds=CPS  exp=table1_all_CPS_fn50p_5032912
[bootstrap] device=cuda  ckpt=/scratch/furkanbd/rpfn_bench_kit/R-PFN/checkpoints/step_50000_final.pt  out=/scratch/furkanbd/rpfn_bench_kit/results_table1_all
[bootstrap] J=100  F=50  params=16,119,072
══ CPS  (n_realizations=100)  [predictive-mirror] ══
  r=000  pehe= 12755.009  ate_rel_err= 1.012  (18s)
  r=001  pehe= 12634.727  ate_rel_err= 1.000  (36s)
  r=002  pehe= 12463.282  ate_rel_err= 0.985  (54s)
  r=003  pehe= 12458.093  ate_rel_err= 0.952  (72s)
  r=004  pehe= 12926.617  ate_rel_err= 1.043  (90s)
  r=005  pehe= 12567.284  ate_rel_err= 0.970  (108s)
  r=006  pehe= 12522.302  ate_rel_err= 0.968  (127s)
  r=007  pehe= 12684.177  ate_rel_err= 0.990  (145s)
  r=008  pehe= 12765.056  ate_rel_err= 1.006  (163s)
  r=009  pehe= 12235.968  ate_rel_err= 0.953  (181s)
  r=010  pehe= 12546.149  ate_rel_err= 0.951  (200s)
  r=011  pehe= 12720.043  ate_rel_err= 0.970  (218s)
  r=012  pehe= 12408.649  ate_rel_err= 0.985  (236s)
  r=013  pehe= 12615.646  ate_rel_err= 0.987  (254s)
  r=014  pehe= 12493.777  ate_rel_err= 0.962  (273s)
  r=015  pehe= 12802.437  ate_rel_err= 1.037  (291s)
  r=016  pehe= 12692.093  ate_rel_err= 1.015  (309s)
  r=017  pehe= 13041.812  ate_rel_err= 0.997  (328s)
  r=018  pehe= 12652.271  ate_rel_err= 1.014  (346s)
  r=019  pehe= 13075.603  ate_rel_err= 1.024  (364s)
  r=020  pehe= 12946.827  ate_rel_err= 1.018  (382s)
  r=021  pehe= 13230.085  ate_rel_err= 1.043  (401s)
  r=022  pehe= 12771.858  ate_rel_err= 1.049  (419s)
  r=023  pehe= 12530.785  ate_rel_err= 0.991  (437s)
  r=024  pehe= 12654.000  ate_rel_err= 1.026  (455s)
  r=025  pehe= 12965.578  ate_rel_err= 1.012  (474s)
  r=026  pehe= 12722.020  ate_rel_err= 1.004  (492s)
  r=027  pehe= 13075.595  ate_rel_err= 1.004  (510s)
  r=028  pehe= 12836.279  ate_rel_err= 1.043  (528s)
  r=029  pehe= 12906.549  ate_rel_err= 1.021  (546s)
  r=030  pehe= 13047.548  ate_rel_err= 1.010  (565s)
  r=031  pehe= 12958.783  ate_rel_err= 1.007  (583s)
  r=032  pehe= 12614.728  ate_rel_err= 0.974  (601s)
  r=033  pehe= 12371.596  ate_rel_err= 0.953  (619s)
  r=034  pehe= 12928.307  ate_rel_err= 0.986  (637s)
  r=035  pehe= 12601.001  ate_rel_err= 0.954  (656s)
  r=036  pehe= 12765.962  ate_rel_err= 0.994  (674s)
  r=037  pehe= 12751.591  ate_rel_err= 0.992  (692s)
  r=038  pehe= 12728.116  ate_rel_err= 1.019  (710s)
  r=039  pehe= 12876.109  ate_rel_err= 1.021  (728s)
  r=040  pehe= 12430.036  ate_rel_err= 0.984  (747s)

##### s/step rows (every 200th) #####

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  r=077  pehe= 12847.225  ate_rel_err= 0.995  (1421s)
  r=078  pehe= 12573.937  ate_rel_err= 0.982  (1440s)
  r=079  pehe= 12875.435  ate_rel_err= 1.034  (1458s)
  r=080  pehe= 12772.487  ate_rel_err= 0.989  (1476s)
  r=081  pehe= 12855.034  ate_rel_err= 1.050  (1494s)
  r=082  pehe= 12681.233  ate_rel_err= 1.043  (1513s)
  r=083  pehe= 12581.366  ate_rel_err= 0.977  (1531s)
  r=084  pehe= 12593.699  ate_rel_err= 0.961  (1549s)
  r=085  pehe= 13034.543  ate_rel_err= 1.012  (1567s)
  r=086  pehe= 12515.426  ate_rel_err= 0.943  (1586s)
  r=087  pehe= 12864.375  ate_rel_err= 1.002  (1604s)
  r=088  pehe= 13162.261  ate_rel_err= 1.031  (1622s)
  r=089  pehe= 12521.885  ate_rel_err= 0.961  (1641s)
  r=090  pehe= 12520.759  ate_rel_err= 1.015  (1659s)
  r=091  pehe= 12684.641  ate_rel_err= 0.975  (1677s)
  r=092  pehe= 12754.272  ate_rel_err= 1.019  (1695s)
  r=093  pehe= 12895.831  ate_rel_err= 1.036  (1714s)
  r=094  pehe= 12476.700  ate_rel_err= 1.015  (1732s)
  r=095  pehe= 12464.523  ate_rel_err= 0.988  (1750s)
  r=096  pehe= 12615.638  ate_rel_err= 0.977  (1768s)
  r=097  pehe= 12381.176  ate_rel_err= 0.967  (1787s)
  r=098  pehe= 12689.075  ate_rel_err= 0.995  (1805s)
  r=099  pehe= 12289.588  ate_rel_err= 0.987  (1823s)
CPS summary   PEHE =  12712.701 ± 22.286   ATE_rel_err = 1.000 ± 0.003
[2026-08-26 08:46:44] done task=1
