##### HEAD (config, device, fresh-vs-resume) #####
[2026-08-26 08:16:19] task=2  ds=PSID_unbal  exp=table1_all_PSID_unbal_fn50p_5032912
[bootstrap] device=cuda  ckpt=/scratch/furkanbd/rpfn_bench_kit/R-PFN/checkpoints/step_50000_final.pt  out=/scratch/furkanbd/rpfn_bench_kit/results_table1_all
[bootstrap] J=100  F=50  params=16,119,072
══ PSID  (n_realizations=100)  [predictive-mirror] ══
  r=000  pehe= 24455.201  ate_rel_err= 1.126  (2s)
  r=001  pehe= 21487.266  ate_rel_err= 1.093  (3s)
  r=002  pehe= 24722.611  ate_rel_err= 1.121  (4s)
  r=003  pehe= 22451.006  ate_rel_err= 1.154  (6s)
  r=004  pehe= 24257.697  ate_rel_err= 1.094  (7s)
  r=005  pehe= 22982.639  ate_rel_err= 1.085  (8s)
  r=006  pehe= 27113.990  ate_rel_err= 1.200  (10s)
  r=007  pehe= 24041.920  ate_rel_err= 1.385  (11s)
  r=008  pehe= 24261.264  ate_rel_err= 1.103  (12s)
  r=009  pehe= 22608.145  ate_rel_err= 1.106  (14s)
  r=010  pehe= 22866.066  ate_rel_err= 1.110  (15s)
  r=011  pehe= 23562.156  ate_rel_err= 1.051  (16s)
  r=012  pehe= 24002.676  ate_rel_err= 1.077  (18s)
  r=013  pehe= 24938.266  ate_rel_err= 1.153  (19s)
  r=014  pehe= 23289.451  ate_rel_err= 1.099  (20s)
  r=015  pehe= 23201.562  ate_rel_err= 1.116  (22s)
  r=016  pehe= 23137.584  ate_rel_err= 1.089  (23s)
  r=017  pehe= 28081.006  ate_rel_err= 1.340  (24s)
  r=018  pehe= 26190.719  ate_rel_err= 1.162  (26s)
  r=019  pehe= 25134.467  ate_rel_err= 1.119  (27s)
  r=020  pehe= 26910.215  ate_rel_err= 1.104  (28s)
  r=021  pehe= 21896.621  ate_rel_err= 1.150  (30s)
  r=022  pehe= 25238.684  ate_rel_err= 1.082  (31s)
  r=023  pehe= 25082.580  ate_rel_err= 1.235  (32s)
  r=024  pehe= 21639.254  ate_rel_err= 1.121  (34s)
  r=025  pehe= 24308.363  ate_rel_err= 1.090  (35s)
  r=026  pehe= 23423.363  ate_rel_err= 1.084  (36s)
  r=027  pehe= 24618.736  ate_rel_err= 1.097  (38s)
  r=028  pehe= 22459.092  ate_rel_err= 1.056  (39s)
  r=029  pehe= 25214.650  ate_rel_err= 1.144  (40s)
  r=030  pehe= 21806.637  ate_rel_err= 1.106  (42s)
  r=031  pehe= 22846.555  ate_rel_err= 1.065  (43s)
  r=032  pehe= 23244.676  ate_rel_err= 1.127  (44s)
  r=033  pehe= 22858.791  ate_rel_err= 1.099  (46s)
  r=034  pehe= 23324.729  ate_rel_err= 1.140  (47s)
  r=035  pehe= 22225.285  ate_rel_err= 1.134  (48s)
  r=036  pehe= 24093.027  ate_rel_err= 1.134  (50s)
  r=037  pehe= 22078.912  ate_rel_err= 1.125  (51s)
  r=038  pehe= 23357.549  ate_rel_err= 1.100  (52s)
  r=039  pehe= 20429.205  ate_rel_err= 1.091  (54s)
  r=040  pehe= 20070.557  ate_rel_err= 1.100  (55s)

##### s/step rows (every 200th) #####

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  r=077  pehe= 23654.576  ate_rel_err= 1.149  (105s)
  r=078  pehe= 21968.586  ate_rel_err= 1.072  (106s)
  r=079  pehe= 21701.906  ate_rel_err= 1.058  (107s)
  r=080  pehe= 22051.828  ate_rel_err= 1.106  (109s)
  r=081  pehe= 22607.324  ate_rel_err= 1.088  (110s)
  r=082  pehe= 23623.613  ate_rel_err= 1.175  (111s)
  r=083  pehe= 24331.441  ate_rel_err= 1.162  (113s)
  r=084  pehe= 25438.193  ate_rel_err= 1.175  (114s)
  r=085  pehe= 23148.434  ate_rel_err= 1.095  (115s)
  r=086  pehe= 26043.576  ate_rel_err= 1.134  (117s)
  r=087  pehe= 24492.605  ate_rel_err= 1.143  (118s)
  r=088  pehe= 22214.805  ate_rel_err= 1.107  (119s)
  r=089  pehe= 23981.234  ate_rel_err= 1.102  (121s)
  r=090  pehe= 24070.160  ate_rel_err= 1.105  (122s)
  r=091  pehe= 25939.791  ate_rel_err= 1.124  (123s)
  r=092  pehe= 24391.158  ate_rel_err= 1.135  (125s)
  r=093  pehe= 22634.285  ate_rel_err= 1.125  (126s)
  r=094  pehe= 22626.520  ate_rel_err= 1.121  (127s)
  r=095  pehe= 23771.768  ate_rel_err= 1.187  (129s)
  r=096  pehe= 23580.844  ate_rel_err= 1.116  (130s)
  r=097  pehe= 25395.070  ate_rel_err= 1.118  (131s)
  r=098  pehe= 21973.861  ate_rel_err= 1.160  (133s)
  r=099  pehe= 25449.170  ate_rel_err= 1.241  (134s)
PSID summary   PEHE =  23749.290 ± 147.079   ATE_rel_err = 1.126 ± 0.005
[2026-08-26 08:18:38] done task=2
