##### HEAD (config, device, fresh-vs-resume) #####
[2026-08-26 08:05:41] task=15  ds=PSID_bal  method=fn50  exp=table1_all_PSID_bal_fn50_5032883
[bootstrap] device=cuda  ckpt=/scratch/furkanbd/rpfn_bench_kit/R-PFN/checkpoints/step_50000_final.pt  out=/scratch/furkanbd/rpfn_bench_kit/results_table1_all
[bootstrap] J=100  F=50  params=16,119,072
══ PSID  (n_realizations=100) ══
  r=000  pehe= 15401.405  ate_rel_err= 0.326  (1s)
  r=001  pehe= 17003.934  ate_rel_err= 0.635  (2s)
  r=002  pehe= 16950.029  ate_rel_err= 0.362  (2s)
  r=003  pehe= 15587.090  ate_rel_err= 0.353  (3s)
  r=004  pehe= 20740.248  ate_rel_err= 0.631  (3s)
  r=005  pehe= 17803.137  ate_rel_err= 0.539  (4s)
  r=006  pehe= 19197.574  ate_rel_err= 0.381  (5s)
  r=007  pehe= 16422.930  ate_rel_err= 0.094  (5s)
  r=008  pehe= 18891.744  ate_rel_err= 0.519  (6s)
  r=009  pehe= 19111.871  ate_rel_err= 0.591  (6s)
  r=010  pehe= 19145.615  ate_rel_err= 0.614  (7s)
  r=011  pehe= 20126.740  ate_rel_err= 0.719  (8s)
  r=012  pehe= 19967.844  ate_rel_err= 0.653  (8s)
  r=013  pehe= 19084.195  ate_rel_err= 0.408  (9s)
  r=014  pehe= 19577.396  ate_rel_err= 0.697  (10s)
  r=015  pehe= 18834.658  ate_rel_err= 0.393  (10s)
  r=016  pehe= 18390.883  ate_rel_err= 0.493  (11s)
  r=017  pehe= 17853.533  ate_rel_err= 0.125  (11s)
  r=018  pehe= 19045.264  ate_rel_err= 0.398  (12s)
  r=019  pehe= 21280.568  ate_rel_err= 0.582  (13s)
  r=020  pehe= 22958.400  ate_rel_err= 0.478  (13s)
  r=021  pehe= 16732.961  ate_rel_err= 0.436  (14s)
  r=022  pehe= 19989.432  ate_rel_err= 0.645  (14s)
  r=023  pehe= 17159.908  ate_rel_err= 0.183  (15s)
  r=024  pehe= 18094.566  ate_rel_err= 0.703  (15s)
  r=025  pehe= 19197.229  ate_rel_err= 0.552  (16s)
  r=026  pehe= 19566.227  ate_rel_err= 0.561  (17s)
  r=027  pehe= 19940.969  ate_rel_err= 0.509  (17s)
  r=028  pehe= 18353.771  ate_rel_err= 0.679  (18s)
  r=029  pehe= 19988.748  ate_rel_err= 0.514  (18s)
  r=030  pehe= 17525.102  ate_rel_err= 0.559  (19s)
  r=031  pehe= 20529.027  ate_rel_err= 0.749  (20s)
  r=032  pehe= 18698.438  ate_rel_err= 0.574  (20s)
  r=033  pehe= 19226.166  ate_rel_err= 0.663  (21s)
  r=034  pehe= 18752.496  ate_rel_err= 0.493  (21s)
  r=035  pehe= 15701.425  ate_rel_err= 0.366  (22s)
  r=036  pehe= 17621.348  ate_rel_err= 0.440  (23s)
  r=037  pehe= 16460.611  ate_rel_err= 0.489  (23s)
  r=038  pehe= 18760.918  ate_rel_err= 0.662  (24s)
  r=039  pehe= 15828.774  ate_rel_err= 0.500  (25s)
  r=040  pehe= 14089.971  ate_rel_err= 0.454  (25s)

##### s/step rows (every 200th) #####

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  r=077  pehe= 17596.113  ate_rel_err= 0.373  (51s)
  r=078  pehe= 17982.344  ate_rel_err= 0.411  (52s)
  r=079  pehe= 19619.564  ate_rel_err= 0.780  (53s)
  r=080  pehe= 18219.961  ate_rel_err= 0.630  (53s)
  r=081  pehe= 18097.531  ate_rel_err= 0.551  (54s)
  r=082  pehe= 16748.047  ate_rel_err= 0.268  (55s)
  r=083  pehe= 18685.742  ate_rel_err= 0.361  (55s)
  r=084  pehe= 17237.293  ate_rel_err= 0.348  (56s)
  r=085  pehe= 18169.166  ate_rel_err= 0.497  (57s)
  r=086  pehe= 21438.283  ate_rel_err= 0.538  (58s)
  r=087  pehe= 19864.689  ate_rel_err= 0.473  (58s)
  r=088  pehe= 17100.504  ate_rel_err= 0.544  (59s)
  r=089  pehe= 19762.137  ate_rel_err= 0.544  (60s)
  r=090  pehe= 19698.811  ate_rel_err= 0.500  (60s)
  r=091  pehe= 21258.314  ate_rel_err= 0.495  (61s)
  r=092  pehe= 20018.252  ate_rel_err= 0.560  (62s)
  r=093  pehe= 18073.525  ate_rel_err= 0.511  (62s)
  r=094  pehe= 17297.939  ate_rel_err= 0.618  (63s)
  r=095  pehe= 14894.832  ate_rel_err= 0.347  (64s)
  r=096  pehe= 18989.084  ate_rel_err= 0.633  (64s)
  r=097  pehe= 19852.598  ate_rel_err= 0.482  (65s)
  r=098  pehe= 15643.860  ate_rel_err= 0.363  (66s)
  r=099  pehe= 16097.396  ate_rel_err= 0.248  (66s)
PSID summary   PEHE =  18500.149 ± 162.696   ATE_rel_err = 0.505 ± 0.013
[2026-08-26 08:06:56] done task=15
