##### HEAD (config, device, fresh-vs-resume) #####
[2026-08-26 08:02:57] task=7  ds=CPS  method=fn50  exp=table1_all_CPS_fn50_5032883
[bootstrap] device=cuda  ckpt=/scratch/furkanbd/rpfn_bench_kit/R-PFN/checkpoints/step_50000_final.pt  out=/scratch/furkanbd/rpfn_bench_kit/results_table1_all
[bootstrap] J=100  F=50  params=16,119,072
══ CPS  (n_realizations=100) ══
  r=000  pehe= 12712.705  ate_rel_err= 1.011  (10s)
  r=001  pehe= 12478.522  ate_rel_err= 0.961  (21s)
  r=002  pehe= 12488.729  ate_rel_err= 0.996  (31s)
  r=003  pehe= 12488.262  ate_rel_err= 0.962  (42s)
  r=004  pehe= 12964.786  ate_rel_err= 1.087  (52s)
  r=005  pehe= 12426.485  ate_rel_err= 0.953  (62s)
  r=006  pehe= 12456.445  ate_rel_err= 0.973  (73s)
  r=007  pehe= 12655.576  ate_rel_err= 0.971  (83s)
  r=008  pehe= 12746.237  ate_rel_err= 0.997  (94s)
  r=009  pehe= 12152.244  ate_rel_err= 0.937  (104s)
  r=010  pehe= 12440.346  ate_rel_err= 0.941  (115s)
  r=011  pehe= 12696.073  ate_rel_err= 0.972  (125s)
  r=012  pehe= 12269.012  ate_rel_err= 0.969  (136s)
  r=013  pehe= 12560.391  ate_rel_err= 0.966  (146s)
  r=014  pehe= 12419.287  ate_rel_err= 0.966  (157s)
  r=015  pehe= 12854.668  ate_rel_err= 1.066  (167s)
  r=016  pehe= 12562.853  ate_rel_err= 0.984  (177s)
  r=017  pehe= 12909.124  ate_rel_err= 0.971  (188s)
  r=018  pehe= 12610.727  ate_rel_err= 1.022  (198s)
  r=019  pehe= 12933.351  ate_rel_err= 1.014  (209s)
  r=020  pehe= 13031.287  ate_rel_err= 1.050  (219s)
  r=021  pehe= 13247.306  ate_rel_err= 1.056  (230s)
  r=022  pehe= 12744.473  ate_rel_err= 1.050  (240s)
  r=023  pehe= 12540.779  ate_rel_err= 0.984  (251s)
  r=024  pehe= 12473.305  ate_rel_err= 0.984  (261s)
  r=025  pehe= 12947.617  ate_rel_err= 1.001  (271s)
  r=026  pehe= 12659.309  ate_rel_err= 0.983  (282s)
  r=027  pehe= 12929.353  ate_rel_err= 0.987  (292s)
  r=028  pehe= 12890.819  ate_rel_err= 1.062  (303s)
  r=029  pehe= 13014.518  ate_rel_err= 1.060  (313s)
  r=030  pehe= 12860.982  ate_rel_err= 0.972  (324s)
  r=031  pehe= 12974.410  ate_rel_err= 1.017  (334s)
  r=032  pehe= 12666.333  ate_rel_err= 0.992  (344s)
  r=033  pehe= 12323.730  ate_rel_err= 0.939  (355s)
  r=034  pehe= 12897.887  ate_rel_err= 0.985  (365s)
  r=035  pehe= 12630.906  ate_rel_err= 0.964  (376s)
  r=036  pehe= 12789.227  ate_rel_err= 0.995  (386s)
  r=037  pehe= 12644.041  ate_rel_err= 0.975  (397s)
  r=038  pehe= 12915.332  ate_rel_err= 1.066  (407s)
  r=039  pehe= 13035.892  ate_rel_err= 1.065  (418s)
  r=040  pehe= 12493.226  ate_rel_err= 1.006  (428s)

##### s/step rows (every 200th) #####

##### tqdm rate samples #####

##### TAIL (final step / DONE) #####
  r=077  pehe= 12742.146  ate_rel_err= 0.965  (817s)
  r=078  pehe= 12645.301  ate_rel_err= 0.977  (828s)
  r=079  pehe= 12913.859  ate_rel_err= 1.063  (838s)
  r=080  pehe= 12886.093  ate_rel_err= 1.015  (849s)
  r=081  pehe= 12770.548  ate_rel_err= 1.052  (859s)
  r=082  pehe= 12703.187  ate_rel_err= 1.078  (870s)
  r=083  pehe= 12648.388  ate_rel_err= 0.995  (880s)
  r=084  pehe= 12554.204  ate_rel_err= 0.961  (891s)
  r=085  pehe= 13008.949  ate_rel_err= 1.009  (901s)
  r=086  pehe= 12589.159  ate_rel_err= 0.959  (912s)
  r=087  pehe= 12725.768  ate_rel_err= 0.975  (922s)
  r=088  pehe= 13232.963  ate_rel_err= 1.059  (933s)
  r=089  pehe= 12466.254  ate_rel_err= 0.933  (943s)
  r=090  pehe= 12442.473  ate_rel_err= 1.003  (953s)
  r=091  pehe= 12795.244  ate_rel_err= 0.991  (964s)
  r=092  pehe= 12883.315  ate_rel_err= 1.073  (974s)
  r=093  pehe= 12923.543  ate_rel_err= 1.055  (985s)
  r=094  pehe= 12396.422  ate_rel_err= 1.000  (995s)
  r=095  pehe= 12400.320  ate_rel_err= 0.973  (1006s)
  r=096  pehe= 12618.896  ate_rel_err= 0.981  (1016s)
  r=097  pehe= 12242.152  ate_rel_err= 0.957  (1027s)
  r=098  pehe= 12636.448  ate_rel_err= 0.981  (1037s)
  r=099  pehe= 12183.119  ate_rel_err= 0.951  (1048s)
CPS summary   PEHE =  12688.484 ± 24.341   ATE_rel_err = 1.001 ± 0.004
[2026-08-26 08:20:37] done task=7
